orderId,itemId,quantity,price
n1sBhWsWN4R8GjekSjZorQ,942,Towel,1,10.57
cx3gnZ5PnjLJ9rK1wKeZMr,349,Curtain,1,13.73
e3LoEzxPMVAQ4kXMUPuKnZ,802,Bread,1,61.81
qk9yaMiriua6WhyyM95DLW,159,Tompouce,1,12.15
s5zXJkPBMvhshszmeppz7m,344,Shirt,1,36.14
vkMCdV1J1SHdwt9n235D7Q,546,Curtain,1,53.75
mK4MFts6EiJmPRkf3DiHkx,404,Book,1,2.68
m2mtHuTL8hNC4qjtBBhcLU,888,Paper,1,12.94
dLiDpaiuPPpySMuDazE9aq,601,Pen,1,63.58
wpG4K7sckhk8QumZTrYmWz,783,Book,1,74.22
sLoUdwrYrWW1k8z2LKyRvV,982,Paper,1,18.53
g6X1ckZnPAuKRVdT7ZSGgw,270,Bread,1,22.5
wy91Wc6w7p25d17QnvTFKD,255,Book,1,6.65
iwsdCQXjhc6Pxk9G4xgT99,450,Shirt,1,22.28
vtmistJjJY71SmWUhYEGPa,888,Pen,1,50.74
7xADM5rf5zLEYAPVEbxhqN,572,Towel,1,65.39
rwW2xyKpSgNqzTiRdN1BnG,426,Pen,1,59.01
dHfMiu2hEV137UM8hpanFn,233,Curtain,1,71.28
2dVNkmkcfHBfuVkLPxLqYj,124,Tompouce,1,31.84
3zVfoxeX52MdQF2x6De6D4,545,Pen,1,44.01
egk9QyZ8jdjY297jHo7gYW,325,Shirt,1,68.04
ue3MvBpqdwk8vR63aSaE3o,649,Paper,1,82.52
vmqxYbh5MjgJPipaEtMW9z,872,Shirt,1,58.86
sPASZFKgaUEn5ThsDE15B9,899,Tompouce,1,50.41
7D1z4LB7cwNjvukg6mGMxS,637,Socks,1,66.72
aVRag28juWdBSdwayx6woe,697,Paper,1,43.18
24fZCT19dctwafcEfHBwAu,264,Tompouce,1,19.25
gyhuYAvQDBFa7QeDFLtnpH,201,Shirt,1,38.34
7mgs4WAgFkTJ4it4eGydcw,957,Towel,1,61.23
nJGZM9d59DstkboSZ34eNv,986,Tompouce,1,39.16
oAkZ1hewYJywXUZQKJiqdJ,807,Tompouce,1,18.03
3EXUdhF1vwQVTESbRwd8Bg,531,Pen,1,29.1
bMnSWSE2LgCV95v4y37RfR,443,Tompouce,1,11.5
1Ra5FATST8jT5sBNCnHDgS,501,Socks,1,47.1
sVAd8YmPoUJoBrCzHLZFoC,593,Curtain,1,66.71
hHDKBfHxa7unTMz3JLpF7o,408,Curtain,1,78.01
1A9Zran7abUAAA8A1kkGSs,203,Bread,1,82.81
6VpXGpgBvCWBdXGa9mCFMc,632,Socks,1,60.31
4uViNxjUY1X5UvSVBA3ojn,991,Book,1,20.29
dk5PojPbZzFXo1J1u5QMPh,735,Towel,1,79.28
x4gqFHvu7LJvrRZmRJMocW,279,Shirt,1,49.05
pm3hiqHrp96gYDC2Y8w276,172,Book,1,53.76
sLCC29sHY9rCAJGPZZRYLR,635,Pen,1,55.19
pcknp7M7fh9vC1GCgr4tmM,908,Bread,1,33.67
jc5z1RzdQipETTWCU9oDi7,142,Towel,1,66.94
j4uBdeAu4uGpEuPHhp2otm,895,Curtain,1,50.28
rRgnqaBJMw5p5adpyp3vbJ,526,Bread,1,55.55
oDWF8vKXVwuu5PGRNcwxsc,629,Curtain,1,66.57
dKaiAC6dPwKLhjdqX6RjFA,305,Socks,1,20.1
4NVDuZvspT9scghUjwZ7wz,220,Curtain,1,24.61
hNEzRb9iUUhJ7AMZ3HMwNu,964,Curtain,1,51.05
pPEZjfBgABjrMyWtSFnEXv,768,Curtain,1,60.59
nMxv36EDbfFVjzLfahzaLU,769,Paper,1,17.61
21UvVh7d4oYaxJb2At9Gyx,345,Curtain,1,45.35
46nA5QbiAxxLtGNhCGw1Rn,844,Shirt,1,50.18
dWZ7hki16g7osxBaTpRtmh,271,Pen,1,28.36
sZLXCAq1iWCgtJPEfpb59M,220,Shirt,1,65.47
kD9osRZgaTXD7VHrJAZbGd,120,Paper,1,11.44
2KfVwR3JJGXc6hdEsxJdqt,481,Bread,1,72.75
9hsHJ1mQwLQU5ruvsdzeB3,874,Book,1,60.78
cGMGT4Tb5JtdmhTxDGfNNg,457,Curtain,1,37.63
soP4FKN6GmuSg6V576SM6i,271,Paper,1,79.59
mb35rCcUWfA2zUVZC87X9M,271,Socks,1,34.08
dcZfQcUuuMR9JAH2BvpsMq,255,Curtain,1,73.36
2eXA77qweKhdQqQwypW2Dg,961,Book,1,44.83
7hgGcAwUa55kfjWEvwHykm,283,Book,1,67.23
soYaxAeZYmL2ozwE4q2ViV,535,Curtain,1,48.13
pmwKM7ymXRydoKcmC2tvjY,776,Shirt,1,54.73
qRzwvVntzttXtxeby7UEse,870,Curtain,1,66.37
fZnvp2bwrU4mZ9ZfESkmLC,334,Towel,1,51.31
oNqC7sNg9ddCVGsJ1a99gN,704,Towel,1,23.76
5DL9UcpGHece8vazsaMy7d,782,Shirt,1,75.15
imK7HZQvVyya4XvkPEfBb7,721,Curtain,1,60.36
mXDCuNBjCLot9Bq27giPRH,236,Pen,1,47.83
32yJqGrNv2SjuVUbPhcdiK,205,Shirt,1,67.04
skoT4bVM6JFTUmHyZRjJuw,831,Curtain,1,61.14
gMe6xfjETNjvXif51ysUED,799,Pen,1,72.82
rpq6hwFXKYko87FgA5LaMs,338,Shirt,1,30.76
v5UMErFJaoqXicLikVcotT,445,Paper,1,66.6
1CjCNah2amuvc88RqsQN1V,879,Bread,1,36.84
fYvtodJgQxk1P3a7jLEkor,645,Shirt,1,54.43
suTf8ZxAYq6QWsiRUu25RF,216,Paper,1,38.89
3xoeNSNqpGJ78yGTV4y5iT,254,Bread,1,67.16
8CNkwn7fWHNrfNtkJqvMRL,983,Pen,1,3.28
pkQeANB18FoYHefqoD3CCt,247,Paper,1,17.8
qbUh1YasQn3cbcEQdXD4kZ,950,Shirt,1,27.17
8f8zJi8pRFLhEWfLNgNhZP,343,Paper,1,53.12
9MZMdXMpTWU5y48Eox7BJ3,277,Towel,1,34.29
